super_opeid,female,par_mean,k_mean,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5,mr_q0
3580,0.55994099,70444.44697,34660.80372,www.kilgore.edu,Kilgore College,3,TX,75662,9,Two-year (public and private not-for-profit),1,2,1,0,0,5867,3048,0.169425511,,4476,,26500,0.007,0.15425,0.035750002,0.02475,2.1052632,15.921053,21.18421,7.5,28.026316,9.2105265,5.3947368,10.657895,,0.558481424,0.025115961,0.038954793,0.152300264,,0.130468529,,3.19217993,3.07112755,2.85769591,2.77930545,2.70297269,2.92088154
3496,0.63287669,175558.9493,47819.18995,www.king.edu,King University,3,TN,37620,6,Selective private,2,1,0,0,0,2191,25708,0.516483516,1000,12426,0.36230001,39700,0.006666667,0.021666666,0.01,0.115,26.785715,1.7857143,0,0,0,18.75,52.67857,0,0.63769999,0.631659034,0.009225036,0.493026611,0.506514104,0.331306991,0.317456957,0.615841355,3.517638047,3.18295964,2.529168,2.44117486,2.40256468,2.65342119
2937,0.74703556,56307.80208,25585.06901,WWW.KINGSCOLLEGECHARLOTTE.EDU,King's College,3,NC,28204,11,Two-year for-profit,3,2,0,0,0,442,14280,0.829090909,,14359,0.1083,27800,0.034810126,0.2943038,0.012658228,0,14.074074,36.296295,30,0,4.0740743,15.555555,0,0,0.8917,0.74619654,0.001664311,0.264026932,0.82556701,,0.362922194,0.88516594,3.174425437,3.019239511,3.407785908,3.186988311,3.0449174,3.174659755
3282,0.50994575,112238.2987,58286.9762,www.kings.edu,"King's College of Wilkes-Barre, PA",1,PA,18711,6,Selective private,2,1,0,0,0,2144,31816,0.657657658,,19304,0.28490001,48900,0.008133971,0.018660286,0.010047846,0.00861244,5.3830228,28.571428,10.766046,3.1055901,7.4534163,12.42236,32.298138,0,0.71509999,0.508320363,0.009021861,0.615421609,0.650599053,,0.479231348,0.697911127,2.20052913,1.929805151,2.235304025,2.025713879,1.857675785,2.005845139
2694,0.50594991,56519.94413,37527.93572,www.kingsborough.edu,Kingsborough Commmunity College/CUNY,1,NY,11235,9,Two-year (public and private not-for-profit),1,2,1,0,0,18634,4850,,,5206,,35300,0.091074929,0.29214242,0.12897778,0.036821835,2.2796352,27.203648,11.322188,30.775076,0,17.249241,11.170213,0,,0.50431127,0.080306233,0.075064123,,,0.147638536,,2.99445374,2.88289221,2.84270393,2.69225483,2.71465494,2.85866409
4076,0.50167388,86485.51625,35665.98417,www.kirkwood.edu,Kirkwood Community College,2,IA,52406,9,Two-year (public and private not-for-profit),1,2,1,0,0,15076,4350,0.197459584,,9269,,33600,0.011764706,0.025590383,0.015199657,0.035895236,0,18.66992,15.985357,35.631481,6.1622944,11.71446,0,11.836486,,0.500021057,0.064925409,0.065044886,0.180912359,,0.243202559,,3.01657627,2.83138543,2.720082675,2.62898686,2.6531614,2.718368865
7684,0.47988078,89514.67068,34353.08494,www.kishwaukeecollege.edu,Kishwaukee College,2,IL,60150,9,Two-year (public and private not-for-profit),1,2,1,0,0,4717,9240,0.18469218,,5733,,32200,0.04013104,0.11629812,0.090090089,0.000546001,0,5.8939095,23.968565,49.901768,0.39292732,12.770138,0,7.0726914,,0.478155675,0.020144644,0.163033023,0.167881709,,0.16003387,,3.21805656,2.95239981,2.87799515,2.70409267,2.56828622,2.80165467
34283,0.6015625,56753.79427,26171.64844,www.kcc.cc.or.us,Klamath Community College,4,OR,97603,9,Two-year (public and private not-for-profit),1,2,1,0,0,1304,3687,0.02020202,,7461,,24000,0.008928572,0,0.09375,0,0,50,0,25,25,0,0,0,,0.600240983,0.005390637,0.051759378,0,,0.200677392,,3.652267308,3.404428381,3.204760028,2.98508097,3.14592884,3.312563679
1704,0.54444444,132051.7696,51398.62115,www.knox.edu,Knox College,2,IL,61401,4,Highly selective private,2,1,0,0,0,1424,40497,0.794788274,,15725,0.25040001,41600,0.049207672,0.035029192,0.033361133,0.10258549,29.069767,0,0,3.1007752,0,26.744186,41.085274,0,0.74959999,0.542933476,0.005909384,0.789375601,0.790557104,,0.395051275,0.734492614,2.381050525,2.51112385,2.50337653,2.26358004,2.24454729,2.32421098
3322,0.60052156,104947.7908,44412.1127,www.kutztown.edu,Kutztown University Of Pennsylvania,1,PA,19530,5,Selective public,1,1,1,0,0,8815,9099,0.548199153,965,14850,0.1821,41400,0.010948386,0.027726432,0.018199915,0.013223375,18.982229,15.831987,3.7964458,0.96930534,5.5735054,7.5121164,47.334412,0,0.8179,0.59919659,0.037859826,0.160207599,0.538883671,0.288753799,0.374470787,0.806913367,2.70922952,2.52970184,2.467419825,2.383434555,2.27527473,2.3884414
