super_opeid,female,par_mean,k_mean,name,region,state,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,enrollment_norm,price_norm,grad_norm,sat_norm,female_norm,netprice_norm
82,0.51313466,88906.11874,39807.06897,"Minnesota State University System, Century And Various Other Minnesota Community Colleges",2,MN,56301,5,Selective public,1,1,1,4,2955.5815,3677.9604,0,0,191906,157950,6092.1465,2786.9924,0.311999866,0.331438294,965.25708,,10952.874,0.2317386,36414.68,268.52542,30172551.13,21526992.42,0.02275412,0.032266382,0.011093568,0.019277658,3.4738305,21.192471,15.604868,17.861805,5.6802392,8.8172131,11.520485,15.849089,0.829341149,0.099954843,0.297814296,0.289066359,0.51151985,0.282808213
2994,0.56368071,74068.44281,41593.46739,Minot State University,2,ND,58707,5,Selective public,1,1,1,5,4122.835,5792.062,0,0,3254,3081,6225,2454,,,954,,8068,0.43380001,37200,,,,0.005847953,0.019951841,0.012727899,0.067767456,2.919708,26.824818,14.416059,5.2919707,15.69343,3.8321166,31.021898,0,0.013820263,0.102617025,,0.275379939,0.562233548,0.21495437
1239,0.52759433,108409.5196,34171.06008,Miracosta College,4,CA,92056,9,Two-year (public and private not-for-profit),1,2,1,999,1942.0052,2874.3462,0,0,14537,9863,1152,296,0.274006623,0.277777778,,,3451,,29500,224.73152,43124500,18122676,0.076751493,0.047652844,0.17732941,0.023015309,4.9504952,24.158417,1.980198,33.861385,3.5643563,16.237623,5.5445547,9.7029705,0.062595374,0.000961847,0.259037688,,0.526027479,0.106359959
3247,0.70505619,107451.2273,49073.06695,Misericordia  University,1,PA,18612,6,Selective private,2,1,0,4,5163.7266,6080.1001,0,0,2417,1798,29010,16010,0.692307692,0.64940239,1070,1000,19924,0.3511,47500,,16893147,8732669,0.003658537,0.004268293,0.005487805,0,1.5810276,11.067194,56.52174,3.1620553,7.1146245,6.324111,14.229249,0,0.010202008,0.559193652,0.685963521,0.416413374,0.704077935,0.493814094
2415,0.55600983,123844.5132,51369.83185,Mississippi College,3,MS,39058,6,Selective private,2,1,0,4,4689.3828,6656.1162,0,0,2905,3423,15458,9674,0.530499076,0.632876712,1080,,13866,0.32699999,38200,,31300499,11237370,0.006147541,0.10737705,0.003278689,0.002459016,12.477064,25.688074,10.091743,0,8.9908257,12.844036,29.908257,0,0.012311576,0.287632254,0.520818645,0.428571429,0.554537226,0.351326559
2416,0.59736228,46309.01563,26034.41081,Mississippi Delta Community College,3,MS,38761,9,Two-year (public and private not-for-profit),1,2,1,999,4403.2935,5048.8911,0,0,2950,2673,2490,1020,0.211165049,0.215223097,,,3256,,23900,,15849963,10753240,0.004115226,0.58735502,0.003367003,0,0,7.7540107,22.727272,41.978611,0,8.0213909,0,19.518717,0.012506106,0.027773325,0.194900411,,0.596026832,0.10177345
2417,0.5439412,67122.77017,32407.66945,Mississippi Gulf Coast Community College,3,MS,39573,9,Two-year (public and private not-for-profit),1,2,1,999,3204.0276,3460.1665,0,0,10106,8768,2732,1062,0.253564155,0.164300203,,,6545,,28400,,34966636,27531648,0.021099452,0.22103103,0.015282847,0.000570255,2.5782688,21.45488,27.071823,12.707182,2.6703498,10.405156,13.812155,9.3001842,0.043440671,0.032622635,0.238173725,,0.542428567,0.179132562
2423,0.48311326,119107.3875,56229.54463,Mississippi State University,3,MS,39762,5,Selective public,1,1,1,4,4908.9697,6076.9536,0,0,16399,16561,7140,3117,0.610521662,0.559549356,1130,,14153,0.35179999,39600,866.07867,119171215,63803824,0.008867513,0.19192906,0.008116029,0.016006613,4.4251447,27.212572,0.41356492,2.8122416,1.1579818,34.698097,29.280397,0,0.070644585,0.120952228,0.602491181,0.489361702,0.481398876,0.358076959
2422,0.83655912,77320.90625,37409.03516,Mississippi University For Women,3,MS,39701,5,Selective public,1,1,1,5,3503.4688,5090.7329,0,0,2429,2814,5640,2656,0.391509434,0.430604982,1112.5,,8970,0.56510001,34800,7739.8623,12946436,10071877,0.003383459,0.2755639,0.004887218,0.020300752,8.9588375,18.644068,21.065374,3.8740921,3.6319613,9.6852303,32.687653,1.4527845,0.010253883,0.090894517,0.378963237,0.468085106,0.836017028,0.236169913
2424,0.57484078,41338.79818,27428.91471,Mississippi Valley State University,3,MS,38941,5,Selective public,1,1,1,4,3894.8223,6707.4639,1,0,1926,2687,5916,,0.259793814,0.332425068,,,10105,0.77280003,22400,580.56683,16175645,10965560,0.002120441,0.96734518,0.000848176,0,5.1779933,12.944983,1.6181229,0,26.537216,23.624596,30.097088,0,0.008079472,0.096425136,0.244531831,,0.573430633,0.262865745
