,super_opeid,female,par_mean,k_mean,mr_kq5_pq1,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,Unnamed: 0,mr_q0,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
1403,2498,0.34929404,78712.30515,47026.20439,0.038710412,www.park.edu,Park University,2,MO,64152,6,Selective private,2,1,0,0,0,10198,10600.0,0.43452381,,11810.0,0.036200002,43900.0,0.019725177,0.17929965,0.10704787,0.014738475,1.2434242,61.119082999999996,1.9607843,1.5781922,7.6040173,7.4127212,18.412243,0.66953611,0.9637999979999999,0.347135811,0.043838376,0.19028534800000002,0.42286450700000006,,0.30296829399999997,0.9616159440000001,1393,-4110.800808,-106640.184905,-32550.963662999995,-7090.161808000003,14854.0151737,30936.5186162
1404,7118,0.47693399,93404.85802,35182.8325,0.014928585,www.parkland.edu,Parkland College,2,IL,61821,9,Two-year (public and private not-for-profit),1,2,1,0,0,8437,9555.0,0.162566845,,5942.0,,31000.0,0.045850985,0.10814852,0.022053327,0.039496633999999996,0.73349631,17.481663,20.660147,47.310513,2.9339852000000004,4.7677259,0.36674815,5.7457213,,0.475199111,0.036225776,0.169345143,0.145300182,,0.164949666,,1394,7571.175876000002,-89882.41158999997,-23895.486906,10029.542012000002,24587.520590599997,40770.80031000001
1405,1261,0.49638699999999997,68739.46256,34430.09624,0.048148058,www.pasadena.edu,Pasadena City College,4,CA,91106,9,Two-year (public and private not-for-profit),1,2,1,0,0,25268,1152.0,0.320184426,,5718.0,,33500.0,0.31793621,0.06283772,0.30956945,0.049721107,4.9389887,27.832657,14.410226999999999,35.735039,3.4282392999999995,4.2998257,6.507844,2.8471818,,0.49471664200000004,0.10898425199999999,0.0009618469999999999,0.30616761,,0.15968106099999999,,1395,13854.484353999995,-93064.583556,-19347.330972,12857.438923000005,33816.414558,50024.430519
1406,10652,0.58387095,61150.71802000001,29131.34865,0.020769878999999998,www.phcc.edu,Pasco - Hernando State College,3,FL,34654,9,Two-year (public and private not-for-profit),1,2,1,0,0,10206,3155.0,0.357044199,,5240.0,,29100.0,0.014714423999999999,0.036398839,0.047241047,0.009874153,0.0,13.137032999999999,28.539071999999997,44.620613,11.098528,0.0,0.0,2.6047564,,0.5824907539999999,0.043872959,0.04109891,0.343787378,,0.148438235,,1396,17582.579596,-83832.70931399999,-18565.632594,17032.17548299999,34402.397353000015,57093.49869099999
1407,9994,0.58019167,49697.75305,28811.848939999996,0.02931447,www.pccc.edu,Passaic County Community College,1,NJ,7505,9,Two-year (public and private not-for-profit),1,2,1,0,0,9129,4778.0,0.110969388,,6531.0,,26700.0,0.04683790400000001,0.17979711,0.43729764,0.029570472999999996,0.0,26.446281,29.338842,23.140495,16.115704,4.9586778,0.0,0.0,,0.5787992710000001,0.039217212,0.073621353,0.09263886,,0.17880327399999998,,1397,17435.588117999996,-85657.504719,-15427.338033000002,15028.472890000005,30781.506419999994,47787.658608
1408,3751,0.5758241999999999,58868.54942999999,25592.20567,0.010196758,www.ph.vccs.edu,Patrick Henry Community College,3,VA,24112,9,Two-year (public and private not-for-profit),1,2,1,0,0,3163,4163.0,0.29333333300000003,,5207.0,,23400.0,0.00613079,0.22513624,0.003065395,0.000340599,0.0,30.958231,19.656019,24.324324,6.3882065,14.496314000000002,3.9312038,0.24570024,,0.574417315,0.013426881000000002,0.061297692,0.278762887,,0.14766205699999999,,1398,15692.440375800004,-84035.39796959999,-14238.918904999995,9748.819036999996,32789.982933,47388.835816000006
1409,9159,0.58914727,58957.18546,28703.56744,0.012411271000000001,www.pdc.edu,Paul D. Camp Community College,3,VA,23851,9,Two-year (public and private not-for-profit),1,2,1,0,0,1392,4145.0,0.24161073800000002,,4691.0,,23700.0,0.005194805,0.3922078,0.007142857,0.001948052,0.0,20.754717000000003,16.352201,40.251571999999996,12.578616,5.6603775,4.402515900000001,0.0,,0.587784574,0.005771051,0.060936999000000006,0.225973846,,0.135525449,,1399,13536.776075,-83215.73404380001,-20088.069276,17442.36409,27548.8497843,33843.9665504
1410,25318,0.92290747,131895.1172,17539.01953,0.00029449799999999997,www.paulmitchelltheschool.com,"Paul Mitchell The School of Costa Mesa, CA",4,CA,92626,12,Less than two-year schools of any type,3,3,0,0,0,1492,,0.772727273,,16239.728000000001,,16900.0,0.0,0.0,0.036437247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.922651773,0.00620334,,0.768041237,,0.407157964,,1400,38671.61542520001,-52292.45918624,-5287.3173055,40684.6129678,66710.1500588,69981.800213
1411,25318,0.92290747,131895.1172,17539.01953,0.00029449799999999997,www.paulmitchelltheschool.com,"Paul Mitchell The School of Costa Mesa, CA",4,CA,92626,12,Less than two-year schools of any type,3,3,0,0,0,1492,,0.772727273,,16239.728000000001,,16900.0,0.0,0.0,0.036437247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.922651773,0.00620334,,0.768041237,,0.407157964,,1400,38671.61542520001,-52292.45918624,-5287.3173055,40684.6129678,66710.1500588,69981.800213
1412,25318,0.92290747,131895.1172,17539.01953,0.00029449799999999997,www.paulmitchelltheschool.com,"Paul Mitchell The School of Costa Mesa, CA",4,CA,92626,12,Less than two-year schools of any type,3,3,0,0,0,1492,,0.772727273,,16239.728000000001,,16900.0,0.0,0.0,0.036437247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.922651773,0.00620334,,0.768041237,,0.407157964,,1400,38671.61542520001,-52292.45918624,-5287.3173055,40684.6129678,66710.1500588,69981.800213
1413,25318,0.92290747,131895.1172,17539.01953,0.00029449799999999997,,"Paul Mitchell The School of Costa Mesa, CA",4,CA,92626,12,Less than two-year schools of any type,3,3,0,0,0,1492,,0.772727273,,16239.728000000001,,16900.0,0.0,0.0,0.036437247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.922651773,0.00620334,,0.768041237,,0.407157964,,1400,38671.61542520001,-52292.45918624,-5287.3173055,40684.6129678,66710.1500588,69981.800213
1414,2795,0.29100528,79745.36133,36066.52628,0.020132689,www.paulsmiths.edu,Paul Smith's College Of Arts & Sciences,1,NY,12970,8,Nonselective four-year private not-for-profit,2,1,0,0,0,981,26146.0,0.434554974,,19154.0,0.25260001,32200.0,0.002631579,0.023684211,0.013157895,0.010526316,0.0,26.200872,0.0,21.834061,0.0,43.668121,0.0,8.2969437,0.74739999,0.288653722,0.003994346,0.501803463,0.42289631299999997,,0.475703265,0.732159882,1401,3328.818028999998,-97530.690502,-28814.190989,3134.3621349999994,25735.084265999998,35231.14582130001
